DEPT,GR,DT,RHOB,DRHO
2160.8004,91.259293,111.326691,,
2160.7004,93.368973,112.653397,,
2160.6004,97.553436,112.937897,,
2160.5004,103.335236,111.673477,,
2160.4004,110.270401,108.447861,,
2160.3004,118.375793,103.652237,,
2160.2004,125.703857,98.753448,,
2160.1004,130.495422,93.836349,,
2160.0004,132.677582,87.594162,,
2159.9004,133.005768,82.168533,,
2159.8004,132.755554,79.403931,,
2159.7004,132.109375,78.01004,,
2159.6004,131.217316,77.206482,,
2159.5004,130.242798,76.728149,,
2159.4004,129.326202,76.383423,,
2159.3004,128.648102,76.108414,,
2159.2004,128.326782,75.865738,,
2159.1004,128.539429,75.623947,,
2159.0004,128.608185,75.392212,,
2158.9004,127.523972,75.201523,,
2158.8004,126.60817,75.060272,,
2158.7004,126.654144,74.967682,,
2158.6004,126.687714,74.910889,,
2158.5004,126.855362,74.872513,,
2158.4004,127.329605,74.818802,,
2158.3004,128.080994,74.717529,,
2158.2004,129.02002,74.604584,,
2158.1004,129.922516,74.517365,,
2158.0004,130.750549,74.409439,,
2157.9004,131.55368,74.121231,,
2157.8004,132.373535,73.592728,,
2157.7004,133.196442,72.994492,,
2157.6004,133.921844,72.44072,,
2157.5004,134.314789,72.013351,,
2157.4004,134.156433,71.734085,,
2157.3004,133.32193,71.605942,,
2157.2004,132.03125,71.566666,,
2157.1004,130.43396,71.497223,,
2157.0004,128.697418,71.476639,,
2156.9004,126.956741,71.595566,,
2156.8004,124.940155,71.697052,,
2156.7004,121.872452,71.500549,,
2156.6004,117.130554,70.882385,,
2156.5004,111.279114,70.248581,,
2156.4004,104.776611,69.804108,,
2156.3004,98.599701,69.410309,,
2156.2004,94.259003,68.618179,,
2156.1004,92.796463,67.085068,,
2156.0004,93.285202,64.978317,,
2155.9004,94.90921,63.135246,,
2155.8004,96.829193,62.390129,,
2155.7004,98.873032,62.910675,,
2155.6004,101.701065,63.937889,,
2155.5004,105.250198,65.019775,,
2155.4004,108.408096,65.97728,,
2155.3004,110.267349,66.639938,,
2155.2004,110.491119,66.65686,,
2155.1004,109.635071,66.036942,,
2155.0004,108.815414,65.497971,,
2154.9004,108.889191,65.525665,,
2154.8004,109.701767,65.972992,,
2154.7004,111.069199,66.21875,,
2154.6004,112.460754,66.282654,,
2154.5004,113.551941,66.6064,,
2154.4004,113.976135,67.129166,,
2154.3004,113.759583,67.556091,,
2154.2004,113.049164,67.739731,,
2154.1004,111.530029,67.573853,,
2154.0004,108.781433,67.317184,,
2153.9004,103.503845,67.399689,,
2153.8004,95.591843,69.266617,,
2153.7004,86.338135,73.624115,,
2153.6004,78.217987,79.998352,,
2153.5004,71.707657,87.478577,,
2153.4004,66.476212,95.822128,,
2153.3004,65.746033,105.040955,,
2153.2004,68.825638,113.565002,,
2153.1004,73.992355,120.429581,,
2153.0004,82.350937,125.402145,,
2152.9004,90.608902,124.372971,,
2152.8004,96.39592,115.925201,,
2152.7004,100.090256,101.518387,,
2152.6004,102.734909,88.05864,,
2152.5004,104.769516,79.375504,,
2152.4004,106.297012,74.724243,,
2152.3004,107.600464,72.536026,,
2152.2004,108.809982,71.629242,,
2152.1004,109.548233,71.453293,,
2152.0004,109.998489,71.671219,,
2151.9004,110.42186,72.030792,,
2151.8004,111.353424,72.452728,,
2151.7004,112.549026,72.906769,,
2151.6004,113.541,73.339355,,
2151.5004,114.541885,73.661591,,
2151.4004,115.785797,73.799225,,
2151.3004,117.473389,73.790665,,
2151.2004,119.439575,73.820389,,
2151.1004,121.316147,74.072601,,
2151.0004,122.846619,74.554688,,
2150.9004,124.196808,74.934402,,
2150.8004,125.464249,75.110336,,
2150.7004,126.546005,75.212753,,
2150.6004,127.237823,74.856171,,
2150.5004,127.469772,74.348541,,
2150.4004,126.953903,74.356339,,
2150.3004,125.614136,74.110092,,
2150.2004,123.904724,73.263046,,
2150.1004,123.310135,72.398666,,
2150.0004,123.725403,71.730957,,
2149.9004,124.24942,71.139862,,
2149.8004,124.73468,70.582275,,
2149.7004,125.105484,69.983246,,
2149.6004,125.384918,69.248871,,
2149.5004,125.502151,68.403717,,
2149.4004,125.40686,67.64743,,
2149.3004,125.113022,67.278931,,
2149.2004,124.773788,67.497009,,
2149.1004,124.60495,68.040405,,
